Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Marcin Gortat,C,34,LAC,47,43,16.0,2.1,4.0,0.0,0.0,0,2.1,4.0,.532,0.7,1.0,.729,1.4,4.1,5.6,1.4,0.1,0.5,1.1,2.0,5.0
Devonte' Graham,PG,23,CHO,46,3,14.7,1.6,4.7,0.7,2.6,.281,0.9,2.1,.421,0.8,1.0,.761,0.2,1.2,1.4,2.6,0.5,0.0,0.7,1.0,4.7
Treveon Graham,SG,25,BRK,35,21,20.4,1.8,5.5,1.1,3.7,.297,0.7,1.8,.413,0.5,0.6,.818,0.7,2.4,3.1,1.0,0.4,0.2,0.5,1.9,5.3
Jerian Grant,PG,26,ORL,60,1,15.7,1.5,3.7,0.7,1.8,.364,0.9,1.8,.473,0.4,0.7,.650,0.3,1.3,1.6,2.6,0.7,0.1,0.9,1.3,4.2
Donte Grantham,SF,23,OKC,3,0,0.7,0.0,0.7,0.0,0.7,.000,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Green,SG,31,TOR,80,80,27.7,3.7,7.9,2.5,5.4,.455,1.2,2.4,.487,0.5,0.6,.841,0.8,3.2,4.0,1.6,0.9,0.7,0.9,2.1,10.3
Gerald Green,SG,33,HOU,73,0,20.2,3.2,7.9,2.1,6.0,.354,1.0,1.9,.547,0.8,0.9,.838,0.4,2.1,2.5,0.5,0.5,0.4,0.8,1.7,9.2
Daniel Hamilton,SG,23,ATL,19,3,10.7,1.2,3.2,0.4,1.2,.348,0.8,1.9,.405,0.2,0.3,.500,0.5,1.9,2.5,1.2,0.3,0.1,0.8,1.0,3.0
Dusty Hannahs,SG,25,MEM,2,0,13.0,1.5,6.0,0.0,2.5,.000,1.5,3.5,.429,1.0,1.0,1.000,0.0,0.5,0.5,2.5,0.5,0.0,0.5,0.5,4.0
Tim Hardaway Jr.,SG,26,TOT,65,63,31.6,6.0,15.3,2.5,7.3,.340,3.5,7.9,.442,3.6,4.2,.841,0.5,2.9,3.4,2.4,0.8,0.1,1.6,2.2,18.1
Tim Hardaway Jr.,SG,26,NYK,46,46,32.6,6.1,15.8,2.5,7.3,.347,3.6,8.5,.424,4.3,5.1,.854,0.6,2.9,3.5,2.7,0.9,0.1,1.8,2.3,19.1
James Harden,PG,29,HOU,78,78,36.8,10.8,24.5,4.8,13.2,.368,6.0,11.3,.528,9.7,11.0,.879,0.8,5.8,6.6,7.5,2.0,0.7,5.0,3.1,36.1
Maurice Harkless,SF,25,POR,60,53,23.6,3.2,6.5,0.6,2.0,.275,2.6,4.5,.582,0.8,1.2,.671,1.3,3.2,4.5,1.2,1.1,0.9,0.8,2.7,7.7
Montrezl Harrell,C,25,LAC,82,5,26.3,6.7,10.8,0.0,0.2,.176,6.6,10.6,.623,3.2,5.0,.643,2.2,4.3,6.5,2.0,0.9,1.3,1.6,3.1,16.6
Gary Harris,SG,24,DEN,57,48,28.8,4.7,11.2,1.4,4.2,.339,3.3,6.9,.476,2.0,2.5,.799,0.7,2.1,2.8,2.2,1.0,0.3,1.2,2.0,12.9
Joe Harris,SG,27,BRK,76,76,30.2,4.9,9.8,2.4,5.1,.474,2.5,4.8,.528,1.4,1.8,.827,0.7,3.1,3.8,2.4,0.5,0.2,1.6,2.4,13.7
Andrew Harrison,PG,24,TOT,17,0,11.0,0.9,3.1,0.3,1.5,.200,0.6,1.6,.393,1.0,1.1,.944,0.4,0.8,1.2,1.4,0.2,0.1,0.7,2.0,3.2
Andrew Harrison,PG,24,MEM,1,0,5.0,1.0,2.0,0.0,1.0,.000,1.0,1.0,1.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Andrew Harrison,PG,24,CLE,10,0,14.4,1.2,3.9,0.3,1.4,.214,0.9,2.5,.360,1.6,1.6,1.000,0.4,1.1,1.5,1.7,0.4,0.2,1.0,2.6,4.3
Andrew Harrison,PG,24,NOP,6,0,6.3,0.5,2.0,0.3,1.7,.200,0.2,0.3,.500,0.2,0.3,.500,0.3,0.5,0.8,1.2,0.0,0.0,0.3,1.2,1.5
Josh Hart,SG,23,LAL,67,22,25.6,2.8,6.9,1.4,4.1,.336,1.4,2.8,.511,0.8,1.2,.688,0.5,3.2,3.7,1.4,1.0,0.6,0.9,2.2,7.8
Udonis Haslem,C,38,MIA,10,1,7.4,1.1,3.3,0.0,1.2,.000,1.1,2.1,.524,0.3,0.4,.750,0.3,2.4,2.7,0.2,0.0,0.0,0.3,0.9,2.5
